,account,airdrop_sources,counts
68,0x0b5a3054e7d7c25c23ee8b7fd7cba3d2660bc6a0,"['1inch', 'ENS', 'Uniswap', 'HOP', 'Gitcoin']",5
69,0xc7777c1a0cf7e22c51b44f7ced65cf2a6b06dc5c,"['Uniswap', 'Gitcoin', '1inch', 'HOP', 'ENS']",5
70,0xe3e202b2cac2b3ec41219c69fe0d2352b19cef69,"['1inch', 'HOP', 'ENS', 'Gitcoin', 'Uniswap']",5
71,0x024f36b02608a5129c61f8df54dc7286f9113dee,"['HOP', '1inch', 'Uniswap', 'Gitcoin', 'ENS']",5
72,0x93f3f612a525a59523e91cc5552f718df9fc0746,"['1inch', 'HOP', 'Gitcoin', 'Uniswap', 'ENS']",5
73,0x146cfed833cc926b16b0da9257e8a281c2add9f3,"['Uniswap', 'HOP', 'Gitcoin', 'ENS', '1inch']",5
74,0x2a08fecb8ac932cb7d3f6a3a0e434a4b9968dd56,"['Uniswap', 'Gitcoin', '1inch', 'HOP', 'ENS']",5
75,0xa00c99f5f955552742f1089ded88abdc74e67bac,"['ENS', '1inch', 'Uniswap', 'HOP', 'Gitcoin']",5
76,0xed7f50b4a658bec62dc4663b604a5b873615a676,"['ENS', 'Uniswap', 'HOP', 'Gitcoin', '1inch']",5
77,0x64abc5b10c77d93be5038e7b4965d2f0d8279127,"['HOP', '1inch', 'Uniswap', 'Gitcoin', 'ENS']",5
78,0x82f9ea8d814a6eb335cfe17500cdcbb69c7ebbfe,"['ENS', 'Uniswap', 'Gitcoin', '1inch', 'HOP']",5
79,0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b,"['1inch', 'HOP', 'Gitcoin', 'ENS', 'Uniswap']",5
80,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,"['HOP', 'ENS', 'Gitcoin', '1inch', 'Uniswap']",5
81,0x5d49c7f7330907fd67401782f95d93c3ff7305dd,"['1inch', 'ENS', 'Uniswap', 'HOP', 'Gitcoin']",5
82,0xe519f4cd2803ba53a40e6377e82406e548418660,"['HOP', 'Gitcoin', 'Uniswap', '1inch', 'ENS']",5
83,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,"['HOP', 'Gitcoin', 'Uniswap', 'ENS', '1inch']",5
84,0xf6210b4bb2fe841630eb50001e688c4bc058b602,"['Uniswap', 'ENS', 'HOP', 'Gitcoin', '1inch']",5
85,0xa289364347bfc1912ab672425abe593ec01ca56e,"['Gitcoin', 'Uniswap', 'ENS', '1inch', 'HOP']",5
86,0xabca2289f0d03773e8b102248997e854aa36cd21,"['ENS', 'HOP', 'Uniswap', 'Gitcoin', '1inch']",5
87,0x92a4f58009df9eac5f2af6d05977683639f0060e,"['HOP', 'Gitcoin', '1inch', 'Uniswap', 'ENS']",5
88,0x4faa92fa62777854602897724efc8fc004b533e3,"['Gitcoin', 'HOP', 'Uniswap', 'ENS', '1inch']",5
89,0x76da9f88e63a85ba8bfa19f3821d5a271753d3dc,"['HOP', 'Gitcoin', '1inch', 'Uniswap', 'ENS']",5
90,0xed4a59031e82296ed0ce0e3e1bf0020a5570150d,"['Gitcoin', 'HOP', 'Uniswap', 'ENS', '1inch']",5
91,0x848f11e9c468be9ef6bf5f1daa742e6adf25d7a7,"['1inch', 'Uniswap', 'ENS', 'Gitcoin', 'HOP']",5
92,0xefc9c8d5ae4aa2035aef9a795a366953bde98081,"['ENS', 'HOP', '1inch', 'Gitcoin', 'Uniswap']",5
93,0x89d3e7f71e23e584a2984e57fbf8b34fac421e3c,"['HOP', 'Gitcoin', 'Uniswap', '1inch', 'ENS']",5
94,0x00c67d9d6d3d13b42a87424e145826c467cccd84,"['1inch', 'Uniswap', 'ENS', 'Gitcoin', 'HOP']",5
95,0xded4e82d0846e96c0d752019ccdf1a0bcfda094e,"['1inch', 'ENS', 'Uniswap', 'HOP', 'Gitcoin']",5
96,0xdbdf70689cb64b096c5291843936c56731e8240b,"['Gitcoin', '1inch', 'ENS', 'HOP', 'Uniswap']",5
97,0x0eeeff44e8f65db5cc841e3a3d591499b74f85e6,"['1inch', 'Uniswap', 'Gitcoin', 'HOP', 'ENS']",5
98,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,"['Gitcoin', 'ENS', '1inch', 'HOP', 'Uniswap']",5
99,0x2d19f32620f647d08fa8b9a0fa5206fae15c0ed5,"['Uniswap', 'Gitcoin', 'HOP', '1inch', 'ENS']",5
100,0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,"['ENS', 'Uniswap', 'Gitcoin', 'HOP', '1inch']",5
101,0x304eb9063fa42bd7841dc7cd6644b12385caa891,"['1inch', 'ENS', 'Uniswap', 'Gitcoin', 'HOP']",5
102,0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c,"['Uniswap', 'HOP', 'Gitcoin', '1inch', 'ENS']",5
103,0x958bc7f87992791e89a5cfe764ff5541f6329642,"['Uniswap', 'ENS', '1inch', 'Gitcoin', 'HOP']",5
104,0x827ea2c64d3f5093f632ab6daa94ee8d7eee0686,"['Uniswap', 'ENS', 'Gitcoin', 'HOP', '1inch']",5
105,0x4a8b9e2c2940fdd39aceb384654dc59acb58c337,"['Uniswap', 'ENS', '1inch', 'Gitcoin', 'HOP']",5
106,0xd3069c9e486a8b77add55ae3ceb3a4b138fb76c7,"['HOP', 'Uniswap', 'ENS', 'Gitcoin', '1inch']",5
107,0x38148ecc2078da7f65e6233dda28efaf4c51e96f,"['ENS', 'HOP', 'Gitcoin', '1inch', 'Uniswap']",5
108,0xfe32a37f15ee4a4b59715530e5817d1322b9df80,"['HOP', 'Uniswap', '1inch', 'Gitcoin', 'ENS']",5
109,0x0960da039bb8151cacfef620476e8baf34bd9565,"['Gitcoin', '1inch', 'HOP', 'ENS', 'Uniswap']",5
110,0x60959ed8307ee2b0d04306f6b319aeee8864f1ee,"['Gitcoin', 'Uniswap', '1inch', 'ENS', 'HOP']",5
111,0xafb50e978276e07d3ae3fcc7a96a8b05c5650e22,"['Gitcoin', 'ENS', 'HOP', 'Uniswap', '1inch']",5
112,0xfeea4cd7a96dcffbdc6d2e6c814eb4544ab62667,"['HOP', 'ENS', '1inch', 'Gitcoin', 'Uniswap']",5
113,0x09fac217f9a9f47b50651fb8c7c641dd0d39efc8,"['Gitcoin', 'Uniswap', 'ENS', 'HOP', '1inch']",5
114,0x4085e9fb679dd2f60c2e64afe9533107fa1c18f2,"['Gitcoin', 'HOP', '1inch', 'ENS', 'Uniswap']",5
115,0x70981969fb2ee716f8297b0736a80a908ef842a8,"['Gitcoin', 'Uniswap', 'HOP', '1inch', 'ENS']",5
116,0x8ed5003d47e6b8a7024ef9cee90403ed786b151e,"['1inch', 'ENS', 'Gitcoin', 'HOP', 'Uniswap']",5
117,0x78ebe56bc138069557c89af35eb29023ff31ae2c,"['1inch', 'ENS', 'Gitcoin', 'HOP', 'Uniswap']",5
118,0x87616fa850c87a78f307878f32d808dad8f4d401,"['ENS', 'Gitcoin', '1inch', 'Uniswap', 'HOP']",5
